Instance,# of Qubits,# of Gate Operations,Circuit Depth,Execution Time,Calculated Distance,Optimal Distance,Calculated Routes,Optimal Routes
1,16,63,18,5.97,21.74,21.74,"r1: 0, 3, 2, 1, 0 | r2: 0, 0","r1: 0, 1, 2, 3, 0"
2,9,50,11,3.76,26.18,26.18,"r1: 0, 2, 1, 0 | r2: 0, 3, 0","r1: 0, 1, 2, 0 | r2: 0, 3, 0"
3,9,105,11,7.17,50.70,49.5,"r1: 0, 6, 4, 0 | r2: 0, 5, 3, 0 | r3: 0, 1, 2, 0","r1: 0, 1, 2, 0 | r2: 0, 3, 6, 0 | r3: 0, 4, 5, 0"
4,16,500,24,188.92,59.66,58.18,"r1: 0, 9, 10, 6, 0 | r2: 0, 12, 11, 2, 0 | r3: 0, 7, 8, 1, 0 | r4: 0, 3, 4, 5, 0","r1: 0, 5, 9, 6, 0 | r2: 0, 10, 4, 3, 0 | r3: 0, 11, 2, 8, 0 | r4: 0, 1, 7, 12, 0"
