Instance,Type,Distance,Routes
1,OPTIMUM,21.74,"r1: 0, 1, 2, 3, 0"
2,OPTIMUM,26.18,"r1: 0, 1, 2, 0 | r2: 0, 3, 0"
3,OPTIMUM,49.50,"r1: 0, 1, 2, 0 | r2: 0, 3, 6, 0 | r3: 0, 4, 5, 0"
4,HEURISTIC,61.85,"r1: 0, 1, 6, 9, 0 | r2: 0, 10, 2, 11, 0 | r3: 0, 5, 3, 4, 0 | r4: 0, 12, 7, 8, 0"
